feature,importance
F3898,0.17688698
F1428,0.114337415
F996,0.09355206
F3914,0.055918295
F1320,0.053817257
F1104,0.04899423
F2184,0.048136726
F1926,0.044514354
F3913,0.028061794
F3534,0.023993196
F1212,0.019889314
F3908,0.016287802
F3886,0.015698217
F3748,0.014208577
F3640,0.012988901
F1932,0.012894884
F3642,0.011135632
F1968,0.009789653
F2230,0.00978933
F3836,0.008814562
F1540,0.0075881933
F3043,0.0075588357
F3889,0.0064884755
F2578,0.0064407513
F850,0.006257997
F2182,0.006160957
F2082,0.0058224
F64,0.005462776
F1216,0.005286741
F2737,0.0049756817
F1103,0.0049516098
F1210,0.004920323
F158,0.004916939
F527,0.004879907
F1102,0.0047805826
F2074,0.004261869
F2582,0.003712515
F1936,0.003701165
F1319,0.0036957415
F267,0.00353448
F3532,0.0035184375
F844,0.0032752582
F3750,0.003083409
F2176,0.0030411286
F3610,0.0028569154
F1692,0.0028362374
F1938,0.0027121638
F269,0.0026807922
F2076,0.00223464
F2956,0.0021839903
F994,0.0021685988
F2285,0.0021317017
F321,0.0018800235
F2068,0.0018776982
F3887,0.0018355804
F3894,0.0017328489
F270,0.00172188
F995,0.0014597527
F1498,0.0013766802
F2122,0.0013131711
F3229,0.0012549947
F778,0.0012347794
F2686,0.0011497828
F266,0.0011276148
F157,0.0010660511
F2678,0.0009823279
F2779,0.000926291
F111,0.0009235446
F159,0.00081207074
F268,0.00079519086
F3502,0.000763662
F531,0.0007530799
F114,0.00075296575
F122,0.0007465084
F120,0.0007440895
F234,0.0007406484
F886,0.0007380165
F1492,0.0007045206
F3612,0.0006800844
F118,0.00067112554
F2046,0.00065493025
F670,0.00065182045
F116,0.0006459181
F265,0.00063982763
F160,0.0006077402
F3891,0.00054186786
F123,0.00053956284
F2044,0.00053381943
F1966,0.0004949652
F2481,0.00048768817
F59,0.00046527153
F117,0.00045736626
F3504,0.00043541088
F162,0.00042944864
F2034,0.00040403494
F109,0.00039397413
F3226,0.00039377715
F161,0.00034285855
F228,0.0003220142
F225,0.00029306748
F224,0.0002713658
F2142,0.00022155407
F126,0.00021276779
F223,0.00015074578
F124,0.00014333085
F1536,0.00014088652
F61,0.00013558842
F2040,0.00013507575
F229,0.000100309895
F1427,8.9725414e-05
F222,6.130767e-05
F231,6.719298e-06
F115,0.0
F121,0.0
F2148,0.0
F3447,0.0
F3339,0.0
F3445,0.0
F3228,0.0
F3231,0.0
F230,0.0
F3337,0.0
